	Acartia-tonsa_adults_SR	Amphibalanus-amphitrite_larva_ou	Calanoides-carinatus_active-pop_BL	Calanus-hyperboreus_female_AF	Eucalanus-hyalinus_high-oxygen_CA	Eucyclops-serrulatus__SR	Eurytemora-affinis_adults_fr	Labidocera-madurae_femalesPooled_SR	Lernaea-cyprinacea_hote_SR	Lsalmonis_female_SR	Metridia-longa_female_AU	Nannocalanus-minor__BY	Neocalanus-flemingeri_pooledFemales_SR	Onana_female_in	Osimilis_female_in	Paracyclopina-nana_SRR1664735_Tr	Penaeus-aztecus_10Hepatopancreas_ou	Pleuromamma-robusta__BU	Pseudocalanus-sp_female_BE	Pseudodiaptomus-annandalei_1ind_SR	Tigriopus-japonicus_SRR1784985_Tr	Tigripus-kingsejongensis_SRR2034718_Tr	Tracheliastes-polycolpus_female_le
PF16661.6	35	29	14	9	14	19	13	9	14	6	7	20	8	15	9	19	8	9	18	28	12	8	8
PF01266.25	150	798	371	279	267	536	364	227	318	122	645	260	201	118	101	934	284	237	364	270	514	507	98
PF07992.15	235	442	566	848	395	614	483	552	449	333	331	308	441	156	169	387	242	442	431	712	492	330	173
PF08264.14	17	56	23	32	10	46	46	89	37	36	30	14	17	28	27	74	13	16	11	27	59	23	39
PF00133.23	38	97	47	65	69	145	99	81	98	53	52	42	62	46	44	133	87	61	138	156	75	52	65
PF09334.12	50	86	103	40	70	131	237	142	85	39	133	58	74	94	75	236	95	157	87	97	253	125	66
PF01406.20	13	37	32	10	19	52	10	62	31	9	5	7	15	32	42	64	14	4	19	26	16	8	19
PF01163.23	29	85	32	133	41	149	82	14	191	27	46	78	59	45	35	158	27	27	44	67	67	20	51
PF09027.11	2	5	5	6	21	18	5	12	3	7	0	6	8	2	2	9	5	0	11	10	2	2	16
PF03098.16	61	1237	337	213	195	267	147	116	190	39	226	353	76	72	73	151	34	148	171	179	156	179	75
PF07975.13	3204	14	4	2	113	9	49	18	2	69	367	12	6	212	925	430	0	263	1161	180	35	91	8
PF00186.20	2	7	4	2	6	14	7	6	8	12	2	4	21	13	4	3	2	3	10	5	14	21	5
PF00054.24	22	269	166	68	131	172	168	256	325	81	114	31	65	138	138	747	84	76	95	231	739	188	148
PF02210.25	18	203	137	37	90	162	182	154	268	84	94	59	44	92	77	595	120	104	48	192	570	133	129
PF00562.29	4	48	8	6	6	19	7	17	11	7	7	4	9	4	4	5	4	6	3	15	4	6	3
PF04560.21	4	29	9	5	7	14	5	4	6	8	6	6	10	4	4	6	4	5	3	23	4	10	4
PF04566.14	2	7	3	67	3	9	6	7	2	2	7	3	3	2	2	2	5	4	3	6	3	3	3
PF04565.17	4	6	3	5	4	14	7	4	7	5	7	6	6	4	5	5	5	4	4	13	3	3	4
PF04561.15	14	14	9	5	5	13	7	14	5	6	8	5	6	6	5	7	10	43	7	29	5	8	4
PF04567.18	2	12	5	13	5	9	7	78	10	7	8	3	2	4	3	9	4	6	7	8	3	2	2
PF04563.16	5	11	6	3	3	15	7	7	5	4	6	4	4	3	4	4	5	4	3	12	4	4	3
PF10442.10	4	20	1	3	1	14	3	0	46	16	5	1	0	3	3	1	1	6	8	3	7	1	5
PF08919.11	36	0	5	4	3	1	5	12	10	2	3	0	1	9	1	39	4	2	2	7	6	3	3
PF01465.21	40	117	20	30	37	214	49	50	84	40	31	22	15	29	51	49	330	30	72	10	131	43	56
PF03914.18	7	73	37	21	20	40	35	15	9	120	11	29	32	14	56	23	63	13	79	47	10	27	10
PF00035.27	253	278	316	180	316	783	297	285	170	189	372	287	637	183	129	142	197	417	343	564	189	185	103
PF07717.17	33	44	165	48	25	109	82	64	31	61	67	31	27	37	39	57	47	34	16	46	18	68	18
PF04408.24	48	49	34	42	44	81	57	65	35	32	65	29	68	50	66	50	71	44	41	48	39	35	44
PF12799.8	1282	5879	4750	2848	2307	2931	3916	3827	2664	1713	3693	1559	2879	1361	1451	4142	2471	3473	2975	4270	2928	1375	1683
PF13855.7	817	2721	2277	1647	1570	1642	1772	1696	1053	746	2420	608	1205	1051	1035	2598	1450	3292	2301	1942	2412	727	938
PF07096.12	1	15	6	4	6	7	37	1	1	2	26	5	15	8	6	5	2	1	50	6	1	1	1
PF07393.12	86	44	21	17	10	32	10	18	6	27	17	13	22	16	12	34	62	5	8	127	16	9	10
PF00171.23	74	296	241	155	89	256	127	66	128	73	86	78	150	53	63	213	114	108	122	140	161	86	94
PF00642.25	302	281	440	165	281	381	259	304	449	149	447	285	147	271	149	132	478	363	4082	735	116	153	143
PF15785.6	7	5	0	0	7	5	1	2	3	30	7	1	10	0	0	4	6	19	0	5	1	0	12
PF10263.10	7	11	25	6	19	57	71	28	12	23	43	11	1	20	18	25	2	124	2	24	15	15	8
PF17283.3	18	12	0	52	19	27	0	125	9	0	408	640	0	3	3	6	0	221	694	47	84	16	3
PF01612.21	22	46	51	21	54	51	32	50	70	12	89	26	20	22	35	109	30	104	55	53	88	14	27
PF00501.29	106	466	695	360	230	416	239	278	256	173	292	223	450	159	127	348	209	323	229	274	281	190	120
PF02913.20	4	28	13	9	8	33	5	11	10	3	8	9	31	20	15	30	7	6	8	10	16	6	7
PF01565.24	16	49	164	59	37	95	39	82	38	21	45	32	74	20	20	137	16	96	103	101	45	29	45
PF00153.28	501	864	1029	905	564	1232	1362	1057	658	405	666	453	737	356	504	839	484	712	1231	1003	878	617	338
PF10199.10	2	12	17	12	1	28	4	18	53	8	1	2	14	3	2	45	6	1	3	26	23	16	2
PF03126.19	22	33	26	6	13	27	9	6	11	2	130	12	56	4	4	1	2	36	57	42	2	2	2
PF01927.17	5	5	16	6	4	43	30	28	0	2	2	8	3	2	2	3	19	6	4	25	9	36	0
PF01784.19	9	1	10	5	2	11	3	10	3	3	3	3	1	10	6	10	5	3	31	15	7	3	5
PF13087.7	47	71	90	79	69	232	43	65	35	28	142	40	129	24	47	50	49	53	59	41	47	41	25
PF13086.7	75	77	269	130	127	335	149	174	82	65	161	94	108	44	52	151	74	130	148	97	119	67	26
PF13604.7	146	414	138	160	238	813	233	250	190	41	416	222	97	111	135	365	270	258	273	482	206	74	272
PF17123.6	66	274	121	310	231	246	82	289	199	42	317	61	52	47	39	68	119	262	171	188	316	120	31
PF02137.19	11	17	25	6	8	26	29	22	16	6	72	11	4	9	9	16	14	29	57	10	11	26	4
PF00008.28	245	1454	722	562	546	1534	1453	1088	1693	488	392	223	706	555	485	5112	1012	272	448	1101	2990	421	509
PF12661.8	238	2033	600	747	803	818	713	789	1164	526	296	242	512	1156	879	2366	798	234	373	1186	2438	360	316
PF07645.16	198	2334	921	565	1171	1417	1152	1016	1223	628	1106	267	551	543	605	3170	2185	487	1236	1127	4855	509	774
PF07974.14	369	853	1202	947	842	2253	1262	688	1786	445	412	405	280	684	544	3032	1820	395	616	2418	1997	990	495
PF00066.18	5	5	98	76	4	284	8	65	322	31	14	0	3	680	461	3579	72	29	221	6	49	48	36
PF06816.14	1	1	10	0	5	1	5	2	6	0	5	1	1	0	0	0	2	1	0	3	5	0	0
PF07684.13	6	2	1	6	1	5	2	1	7	2	0	5	1	1	1	0	2	18	4	1	20	8	5
PF02928.17	21	1	14	29	38	4	56	15	29	27	48	7	14	2	2	10	99	37	23	31	14	3	60
PF02373.23	129	129	132	200	184	325	366	407	156	73	172	72	114	86	62	206	91	133	172	172	108	57	220
PF02375.18	15	8	13	41	16	33	14	10	12	7	46	23	31	11	23	24	153	11	33	5	17	12	70
PF01388.22	10	97	97	62	84	86	59	47	56	43	62	39	44	35	17	129	46	66	54	60	24	33	38
PF00084.21	52	1053	965	889	702	348	873	1967	596	446	615	292	106	252	267	1873	302	262	525	1529	3258	449	400
PF00431.21	97	997	580	525	361	200	281	248	253	195	703	286	85	175	151	486	61	534	799	334	700	293	187
PF00754.26	46	116	397	201	174	176	91	158	156	62	278	70	160	18	26	406	94	131	156	294	247	70	73
PF00059.22	244	1480	1854	1783	1619	974	565	317	699	427	923	600	626	764	551	671	878	882	1289	1265	1207	317	149
PF00057.19	305	1508	1956	1611	990	1032	873	849	743	390	3575	359	796	735	661	2278	1206	1490	1226	1099	1659	505	664
PF14670.7	292	1827	467	347	248	520	861	613	1424	366	349	136	382	212	241	1356	863	175	597	1241	1462	258	722
PF17784.2	75	0	132	117	92	9	72	73	24	13	68	70	32	11	8	73	0	109	54	24	44	27	15
PF11027.9	1	6	6	6	4	15	9	3	2	4	8	2	4	2	2	6	27	1	4	6	2	2	0
PF19220.1	1044	3505	1067	1956	650	1860	879	1315	229	22	1047	529	605	1351	1149	2455	2215	804	810	1211	613	191	306
PF10473.10	999	1454	263	17	0	2125	186	0	1210	0	8	2	0	224	214	0	0	564	0	18	192	0	0
PF07926.13	237	299	0	147	1364	3009	298	168	1155	68	386	136	110	105	192	210	936	13	146	526	36	83	532
PF02104.16	1	5	1	1	10	10	8	1	13	8	6	4	2	1	1	13	4	2	5	22	6	2	1
PF12922.8	5	21	4	0	52	14	1	6	10	2	5	5	20	2	4	36	26	5	0	12	2	37	6
PF12765.8	37	18	3	27	60	38	8	3	2	2	14	36	3	28	28	144	0	9	78	4	6	21	30
PF01433.21	22	102	63	102	57	95	83	59	100	23	52	31	33	41	35	107	44	129	47	67	64	49	54
PF09127.12	10	11	7	16	4	10	11	14	21	1	12	4	3	6	6	49	0	21	2	9	7	13	2
PF17900.2	29	130	92	94	71	92	168	128	77	75	129	77	67	39	43	148	79	158	63	148	87	78	64
PF14802.7	2	3	6	12	2	28	18	9	1	0	5	11	15	16	10	4	2	6	7	4	200	1	0
PF07766.14	25	13	25	36	40	155	30	2	60	16	29	20	20	41	21	9	12	87	6	66	13	35	43
PF00412.23	236	1529	1941	2173	1010	1666	785	1143	1748	662	1152	808	1176	792	859	1991	1001	999	1290	1363	974	1010	464
PF13532.7	77	42	30	9	33	212	81	37	10	10	35	29	74	35	38	68	24	35	29	83	20	32	30
PF16363.6	77	47	196	109	30	80	57	87	54	52	61	26	74	66	77	61	33	48	59	65	82	131	39
PF01370.22	235	332	412	222	143	180	146	110	157	66	39	89	199	66	58	266	166	80	201	210	289	252	59
PF07910.14	14	15	9	33	18	60	9	39	29	27	13	9	23	20	20	41	6	15	42	8	23	11	22
PF00441.25	29	131	95	54	56	112	60	83	62	18	76	63	68	32	27	169	67	46	39	80	28	32	17
PF02770.20	49	80	80	45	67	86	77	76	93	20	46	30	45	33	39	48	106	33	41	52	36	39	15
PF08028.12	44	90	92	89	97	98	106	92	49	20	95	64	65	44	32	70	68	82	52	80	26	42	21
PF02771.17	23	72	67	45	61	123	38	56	62	12	34	37	77	44	43	46	40	23	28	56	15	19	13
PF11838.9	15	73	77	91	87	183	88	39	79	29	99	42	70	43	43	122	71	84	96	170	61	38	31
PF00581.21	205	90	169	111	71	188	377	142	63	36	118	56	56	42	40	72	65	130	71	234	111	107	71
PF00957.22	35	78	63	131	97	252	59	86	165	49	191	46	49	119	178	196	76	95	87	160	159	64	47
PF13774.7	19	59	6	8	31	89	8	23	19	5	29	3	8	4	39	42	9	22	5	21	8	40	25
PF00053.25	145	946	406	431	415	664	628	436	612	295	314	209	346	1634	1633	4777	468	290	610	530	1526	117	404
PF08626.12	9	50	50	19	20	169	24	51	15	8	25	60	6	5	5	29	12	8	96	10	12	15	4
PF18136.2	5	6	1	3	1	6	1	1	1	2	1	2	9	1	1	4	8	1	0	6	1	2	2
PF00476.21	5	15	43	10	12	28	11	11	21	25	14	10	12	6	7	56	20	11	29	15	13	3	5
PF12013.9	476	0	667	603	465	0	11244	9951	0	222	2134	480	184	0	0	0	0	1401	323	346	0	216	49
PF07744.14	30	7	27	12	21	85	14	8	18	15	56	27	27	15	27	23	22	16	19	9	8	5	26
PF03155.16	10	41	7	13	7	27	12	3	5	3	2	6	11	6	5	51	6	4	6	13	52	11	4
PF13401.7	633	1196	634	851	789	2038	873	1028	527	467	491	423	510	831	674	928	2335	684	674	1851	1037	271	637
PF02493.21	96	332	785	1049	520	1988	855	888	799	412	1128	373	753	553	843	833	172	399	919	2490	1018	930	241
PF02204.19	10	41	69	16	39	68	22	24	16	33	16	9	12	13	10	21	52	21	23	23	14	10	4
PF00415.19	160	338	163	107	159	338	346	244	213	158	200	98	162	120	157	981	269	256	148	297	346	166	157
PF13540.7	237	1117	384	380	705	843	485	505	320	132	768	198	205	345	372	1189	441	565	350	638	456	291	238
PF15038.7	3	20	7	2	2	8	8	9	3	5	3	0	0	6	6	5	0	0	6	28	4	6	28
PF03351.18	88	68	99	64	72	303	93	230	45	164	106	43	31	172	125	283	35	47	240	329	206	141	44
PF00481.22	133	191	134	126	103	187	140	203	132	119	99	149	209	59	59	154	164	92	77	213	171	92	42
PF13672.7	80	34	11	12	3	74	19	70	10	16	18	2	4	7	10	44	30	14	16	42	23	10	6
PF02290.16	2	7	1	4	2	7	6	1	7	1	2	1	9	0	2	2	3	1	0	2	5	3	3
PF11817.9	12	22	32	32	5	7	12	1	19	1	21	4	12	21	21	2	8	18	17	23	2	4	6
PF12742.8	2	13	7	4	2	10	2	1	3	0	3	4	4	0	0	4	5	1	3	4	2	0	0
PF07919.13	5	5	12	10	6	2	20	5	7	8	2	3	2	66	4	3	2	2	2	2	2	14	54
PF05994.12	2	11	6	15	6	16	22	28	13	3	4	4	10	2	1	2	24	7	5	9	2	7	7
PF07159.13	3	10	16	18	22	19	22	16	31	6	27	22	69	14	8	7	26	25	8	55	11	90	9
PF00168.31	146	840	1133	2015	672	1082	1106	1049	894	346	1713	350	897	551	710	2147	308	621	905	1269	1315	584	275
PF00587.26	52	32	75	18	20	69	43	120	86	33	42	17	35	20	31	32	41	19	22	76	56	20	15
PF00566.19	250	368	401	209	172	264	127	182	146	132	152	279	90	144	121	277	280	151	129	362	209	187	229
PF11830.9	1	24	24	6	17	0	23	4	20	1	10	2	2	0	0	0	66	9	29	39	0	0	0
PF00640.24	39	211	69	85	57	74	104	88	84	26	108	32	48	45	47	167	109	117	74	147	137	68	24
PF00010.27	314	919	1106	688	342	869	749	649	491	198	272	150	385	339	272	504	465	293	466	601	333	164	314
PF17793.2	30	31	0	0	1	12	0	15	1	3	11	0	13	2	1	5	5	0	474	14	4	1	2
PF01302.26	17	144	40	19	34	164	54	106	186	54	43	14	24	31	55	102	164	101	159	136	211	22	31
PF00118.25	27	179	251	71	134	170	24	106	325	31	108	48	26	31	40	108	63	79	55	203	66	43	26
PF01379.21	3	7	1	1	1	3	3	6	7	0	6	2	3	4	4	2	19	1	4	2	4	5	4
PF03900.16	1	8	12	12	2	6	3	2	23	0	13	6	16	10	10	1	4	4	4	14	2	12	8
PF08969.12	4	25	1	12	9	36	13	20	7	52	7	5	12	6	6	5	13	5	8	8	39	12	6
PF01490.19	47	182	195	175	167	213	85	63	95	36	75	62	127	48	29	517	86	132	167	121	202	106	96
PF05434.12	39	54	28	16	15	40	190	56	9	26	34	13	6	56	52	115	4	26	50	31	13	8	2
PF16454.6	115	18	3	2	67	23	10	1	300	1	2	11	4	4	2	15	2	5	318	4	1	1	1
PF00071.23	271	707	544	616	399	1154	424	448	1121	451	516	269	258	263	289	1395	228	329	330	662	1289	463	347
PF08477.14	274	863	766	677	477	820	1134	553	753	269	522	272	342	440	504	791	410	437	676	856	926	505	252
PF00025.22	641	1687	1467	1173	885	1902	1151	1315	2060	703	1173	626	1076	980	1086	1927	918	984	1460	1755	1223	1095	553
PF10172.10	4	0	1	5	1	10	7	1	12	1	4	11	1	3	3	18	34	1	16	1	4	1	1
PF14492.7	14	52	23	14	24	90	19	12	48	34	28	19	17	34	35	48	23	55	22	46	17	30	17
PF00679.25	9	51	29	31	26	57	9	17	57	41	14	15	35	18	19	23	14	29	116	67	14	17	24
PF16658.6	16	52	17	5	20	7	1	4	14	2	9	33	4	6	6	9	6	46	5	5	10	4	5
PF01491.17	2	12	5	5	6	5	2	3	3	1	14	4	2	5	5	3	4	46	16	4	4	1	1
PF16501.6	27	6	1	0	2	20	4	2	24	6	2	2	8	3	2	2	4	6	0	6	6	3	6
PF16450.6	8	84	260	22	9	191	34	40	134	10	12	16	106	9	24	18	28	7	8	67	8	7	8
PF17862.2	457	415	283	266	196	478	370	506	436	191	202	230	505	147	172	728	508	453	371	378	245	146	248
PF01434.19	3	22	28	11	5	40	6	3	14	6	12	7	12	8	8	15	3	10	7	27	26	3	3
PF07728.15	327	487	392	294	264	1488	593	596	520	65	423	438	523	240	212	1086	319	398	173	1342	506	199	318
PF09733.10	18	20	109	22	11	112	95	18	12	6	12	53	9	8	14	7	27	48	35	57	25	3	8
PF08154.13	8	15	4	116	3	32	21	14	5	6	6	2	8	14	20	4	2	4	7	7	4	2	35
PF16529.6	403	1123	314	111	285	906	548	296	362	156	433	177	258	208	218	1784	232	404	293	698	821	354	227
PF07724.15	81	305	157	188	62	407	81	27	645	72	70	67	165	26	33	162	95	70	70	251	172	121	20
PF09311.12	5	20	4	6	1	37	12	11	7	4	6	4	2	3	3	3	42	2	1	13	20	4	4
PF16278.6	247	180	812	270	353	1057	1879	893	115	1098	1359	261	213	209	197	957	485	2868	6552	4166	205	3	23
PF12756.8	1985	1967	1792	1739	1388	3057	2364	1945	361	961	1749	1308	1076	3212	3400	2250	1370	1978	3627	14272	656	605	837
PF04802.16	72	13	32	24	11	44	7	19	272	8	76	24	6	114	18	56	14	26	39	10	20	1	8
PF00736.20	13	37	176	26	4	47	23	19	112	6	14	17	57	3	3	11	7	11	20	27	29	23	14
PF10587.10	99	190	94	173	79	275	154	170	234	83	175	67	44	33	25	80	59	74	72	98	202	159	80
PF02826.20	35	203	204	81	83	150	127	81	113	31	85	57	69	80	67	154	40	106	149	178	199	87	24
PF00389.31	48	57	31	39	46	112	46	75	42	14	65	27	235	47	29	98	23	52	29	21	111	18	24
PF00225.24	184	518	154	126	208	512	177	228	295	144	220	90	791	181	144	288	105	101	128	475	189	167	81
PF16796.6	367	728	499	352	428	1301	631	350	242	336	696	263	752	552	371	1368	445	274	449	1111	1016	318	435
PF13432.7	287	1660	603	772	923	1392	830	751	1042	399	735	315	667	744	682	1271	1525	842	856	2302	1113	914	472
PF13371.7	274	967	566	202	829	734	779	525	869	311	428	240	121	338	346	1103	206	681	376	1688	832	390	218
PF00571.29	114	84	133	249	132	177	229	73	75	99	217	93	109	37	61	230	122	174	257	148	322	110	35
PF03901.18	29	44	29	65	12	172	41	48	21	11	7	10	32	10	16	54	6	26	9	68	19	12	14
PF13017.7	7	3	33	72	41	54	19	44	60	2	148	28	120	11	15	15	4	39	26	4	12	7	0
PF06229.13	22	137	26	50	14	49	36	14	77	17	17	7	14	26	26	22	12	9	70	76	58	66	18
PF06268.14	6	61	38	63	52	70	20	8	52	4	15	24	20	10	10	4	10	49	39	62	30	8	8
PF00149.29	148	488	259	170	143	340	210	117	267	153	217	187	110	149	133	727	171	186	243	366	238	124	80
PF01074.23	5	46	13	52	18	49	20	43	24	8	12	16	19	11	26	17	25	17	9	17	20	13	7
PF07748.14	4	12	23	16	6	20	26	22	17	6	14	33	39	13	13	17	25	9	23	15	18	9	9
PF09261.12	12	11	12	30	22	48	96	24	40	8	11	12	20	19	24	51	32	15	18	59	55	9	91
PF08926.12	5	12	4	4	7	10	32	7	3	28	16	4	9	8	8	25	34	4	5	16	5	38	19
PF01636.24	157	431	398	464	182	385	381	254	302	134	615	178	183	157	160	420	359	428	391	414	330	171	80
PF05380.14	131	481	8	18	80	79	372	225	39	0	82	110	6	1	1	655	114	15	0	132	434	13	0
PF18701.2	146	797	110	53	121	85	39	18	29	1	107	315	13	5	8	586	70	55	4	69	366	41	0
PF00641.19	225	564	956	428	453	693	276	708	355	174	501	332	368	102	66	229	349	519	723	301	248	282	104
PF00831.24	16	88	40	50	28	90	12	39	74	2	6	21	12	6	6	6	10	24	12	90	15	24	8
PF01546.29	23	45	46	17	16	34	117	15	28	15	10	12	12	11	33	101	34	31	7	68	40	13	5
PF07687.15	21	29	66	24	17	40	27	22	25	25	22	10	33	17	25	136	17	23	8	58	22	18	30
PF12473.9	13	15	57	19	14	23	17	20	60	11	8	2	11	8	8	85	30	37	15	40	43	125	16
PF08434.12	8	30	114	30	61	92	46	50	14	7	49	8	2	43	39	81	100	62	35	72	133	12	31
PF07690.17	1002	3408	3879	3141	3116	2346	2257	2519	1410	753	1788	1214	1105	1331	1404	3902	2161	1914	2637	2559	3272	1640	811
PF00083.25	156	1010	1016	776	736	575	610	759	516	258	473	463	319	435	446	783	481	395	588	587	803	516	165
PF01762.22	45	266	273	212	214	177	188	162	83	62	156	31	37	79	66	353	61	122	194	236	133	86	45
PF03452.15	40	14	0	0	0	275	6	14	16	18	1	0	0	3	3	4	0	0	0	22	41	1	12
PF03095.16	2	7	2	5	4	50	36	4	3	8	3	2	2	7	8	4	11	3	1	8	1	4	1
PF13923.7	216	786	585	418	227	1005	1053	659	419	475	795	253	761	413	327	924	482	502	344	339	420	231	247
PF02037.28	86	384	207	333	194	143	183	209	234	56	227	107	202	165	150	208	81	395	226	181	118	50	92
PF13445.7	432	881	333	268	219	1159	763	245	348	327	271	252	541	255	121	790	862	570	369	1045	605	188	103
PF03062.20	37	62	27	66	137	51	61	79	127	52	35	32	57	38	26	310	56	40	71	45	45	35	52
PF06424.13	1	1	1	6	1	3	1	1	1	1	1	1	1	1	6	1	2	1	1	3	2	1	2
PF13431.7	795	1204	815	540	441	1857	838	926	678	666	570	356	465	924	885	2372	840	840	1008	1935	950	508	365
PF08790.12	851	0	113	115	195	89	267	145	253	22	320	802	6	40	52	28	742	1199	6299	117	18	14	16
PF18439.2	10903	2159	1079	96	395	240	421	734	12	344	9287	1750	884	3447	4564	229	1545	5237	15839	2475	12	62	20
PF09237.12	3271	334	192	64	78	175	1415	1356	0	188	1681	387	0	409	142	266	817	1430	2912	4997	442	43	0
PF00105.19	1059	172	984	822	538	708	591	416	119	120	219	332	242	255	230	727	115	303	396	424	564	281	126
PF17003.6	42	40	61	0	4	176	85	931	111	50	386	180	15	48	48	0	5	18	144	285	7	6	0
PF00493.24	19	69	34	15	12	65	15	29	43	11	15	16	11	14	13	17	29	25	35	22	21	11	24
PF17207.4	16	45	21	19	22	54	12	25	30	18	11	21	10	11	10	16	14	20	28	42	22	12	15
PF14551.7	20	17	20	14	10	50	10	14	36	10	7	11	12	10	10	13	10	12	14	9	16	6	11
PF17855.2	23	169	27	22	18	117	13	38	71	7	13	22	20	26	12	23	10	98	19	26	29	18	16
PF01078.22	217	753	250	139	206	381	142	108	356	63	90	64	395	160	166	200	337	383	142	121	132	68	257
PF00588.20	33	15	19	19	5	21	30	62	14	4	9	22	7	6	6	8	4	10	8	35	14	8	16
PF09342.12	41	110	74	84	83	60	62	100	81	23	102	46	68	48	32	118	35	86	100	84	59	42	37
PF15494.7	12	55	259	265	279	313	27	170	98	24	209	211	110	18	74	138	12	162	159	94	105	21	22
PF08241.13	166	610	332	190	154	351	290	161	274	64	700	198	184	108	100	257	212	242	223	338	180	258	74
PF01138.22	25	55	55	15	42	86	44	35	24	32	27	18	16	47	28	24	36	16	35	38	25	13	25
PF03725.16	11	26	13	11	6	44	17	22	21	10	15	11	19	15	9	30	6	20	9	39	27	8	49
PF04121.14	2	22	5	5	5	35	1	3	10	25	6	2	3	15	12	3	7	2	1	16	28	2	2
PF11629.9	2	7	1	1	1	6	14	4	8	2	3	1	0	15	17	3	2	3	2	10	6	0	2
PF17667.2	182	472	867	298	370	589	322	343	481	411	458	224	240	326	332	783	653	340	274	356	418	165	198
PF03167.20	23	55	9	19	72	99	39	52	17	8	6	15	22	11	9	26	11	11	3	27	26	13	8
PF00324.22	26	94	253	89	73	114	120	69	203	76	128	97	63	61	72	282	66	107	53	120	241	134	35
PF03522.16	10	13	103	52	29	55	56	30	44	45	59	58	30	35	31	162	77	59	38	103	126	35	35
PF13520.7	36	72	82	59	38	87	110	48	158	58	113	17	59	55	73	203	41	67	35	145	177	74	34
PF13889.7	1	4	3	3	2	2	4	1	9	1	1	5	7	1	0	7	2	1	1	6	2	1	4
PF13915.7	2	2	3	3	2	21	16	1	2	1	1	8	2	4	0	46	10	1	1	12	2	1	2
PF15477.7	25	65	22	38	18	59	54	64	123	6	22	22	24	7	2	6	46	15	14	42	28	5	10
PF01798.19	6	46	88	19	14	165	5	11	35	10	6	24	12	8	7	10	5	16	9	21	7	6	9
PF08156.14	7	32	12	6	83	45	6	7	19	21	39	11	16	53	42	11	78	7	16	70	126	23	83
PF04677.16	3	11	5	3	2	68	6	2	7	6	3	4	4	4	4	3	7	3	2	10	4	2	7
PF04676.15	6	28	10	5	9	16	29	6	25	9	12	12	14	37	36	5	22	18	14	30	20	6	20
PF08068.13	2	17	10	2	2	20	2	4	2	2	2	3	4	3	3	2	1	6	2	4	4	3	4
PF16198.6	1	8	1	1	1	22	1	2	2	1	1	12	2	1	1	1	12	2	1	2	2	1	2
PF01472.21	10	65	24	6	24	46	2	3	47	7	5	3	9	10	10	15	4	32	6	23	46	16	5
PF01509.19	9	13	11	63	13	33	4	38	17	2	10	11	139	12	14	2	5	11	21	12	5	28	16
PF13634.7	66	139	145	105	153	220	0	101	18	35	188	102	143	21	35	40	95	11	214	127	104	84	74
PF13393.7	50	140	26	8	17	24	17	7	20	11	18	2	17	20	18	79	3	11	13	27	10	13	3
PF14750.7	3	9	6	3	6	20	2	24	3	9	15	1	7	3	3	18	11	5	4	7	5	3	1
PF02171.18	18	16	82	85	54	186	52	51	37	26	162	165	185	31	30	37	15	100	28	31	45	25	3
PF02170.23	30	43	74	51	91	90	54	83	35	58	155	73	112	62	50	85	67	115	46	32	73	31	17
PF01245.21	2	7	4	3	3	13	12	1	10	1	4	3	4	1	1	2	1	4	2	2	2	1	4
PF10409.10	17	14	33	17	13	38	9	10	16	7	11	9	12	14	29	34	21	8	56	51	21	17	16
PF00632.26	33	125	124	73	51	194	53	98	133	30	89	38	68	40	64	133	142	84	261	84	86	50	33
PF00658.19	6	50	15	15	14	81	6	5	98	31	47	18	3	18	27	14	18	19	41	21	8	5	16
PF12612.9	58	74	2	20	12	60	4	3	31	28	252	22	26	27	30	40	102	50	36	6	30	12	12
PF03792.14	3	45	14	8	7	12	6	32	33	5	11	12	29	7	6	11	13	6	9	9	18	16	5
PF00046.30	72	1074	1034	481	392	723	467	511	424	164	1055	290	372	528	516	1280	119	1756	716	993	764	418	228
PF05920.12	75	519	289	127	104	268	91	285	99	34	161	59	89	157	141	288	75	475	149	451	312	361	51
PF15911.6	1	4	1	0	2	12	2	2	1	0	0	0	0	1	1	30	3	0	0	6	4	5	0
PF04053.15	40	114	253	95	14	186	112	226	189	75	213	41	49	116	128	2123	14	19	101	145	148	90	12
PF13872.7	4	2	32	5	1	19	4	5	3	1	24	2	5	2	2	6	3	41	15	8	3	4	1
PF13871.7	2	2	15	10	5	8	2	5	27	1	40	5	3	12	12	21	1	70	5	4	16	12	1
PF04851.16	770	647	545	311	485	956	639	973	535	413	893	406	481	476	462	841	588	473	429	728	505	257	575
PF08662.12	325	589	433	432	443	1471	355	550	727	277	896	193	226	374	409	1300	307	323	264	798	495	335	357
PF15490.7	3	10	2	0	5	14	4	8	0	6	0	2	0	0	0	0	0	4	0	6	2	6	3
PF17120.6	184	44	46	48	143	104	90	64	121	36	69	25	18	28	14	15	45	17	73	26	167	78	30
PF03451.15	3	97	3	4	1	49	6	24	50	10	1	1	7	9	11	217	0	0	5	16	279	17	4
PF12906.8	25	118	82	158	50	147	60	57	52	70	64	39	61	124	297	88	49	45	32	176	116	46	58
PF06920.14	7	57	48	24	30	30	66	22	66	31	7	23	30	16	18	19	29	13	23	46	37	9	27
PF14429.7	15	37	43	12	44	18	32	25	15	29	47	16	20	8	10	23	20	4	6	33	29	2	26
PF16622.6	5855	1993	3308	2719	1734	3569	1678	4875	996	783	9446	5360	2410	6943	5499	2666	1866	6655	8645	10953	1374	392	579
