	Acartia-tonsa_adults_SR	Amphibalanus-amphitrite_larva_ou	Calanoides-carinatus_active-pop_BL	Calanus-hyperboreus_female_AF	Eucalanus-hyalinus_high-oxygen_CA	Eucyclops-serrulatus__SR	Eurytemora-affinis_adults_fr	Labidocera-madurae_femalesPooled_SR	Lernaea-cyprinacea_hote_SR	Lsalmonis_female_SR	Metridia-longa_female_AU	Nannocalanus-minor__BY	Neocalanus-flemingeri_pooledFemales_SR	Onana_female_in	Osimilis_female_in	Paracyclopina-nana_SRR1664735_Tr	Penaeus-aztecus_10Hepatopancreas_ou	Pleuromamma-robusta__BU	Pseudocalanus-sp_female_BE	Pseudodiaptomus-annandalei_1ind_SR	Tigriopus-japonicus_SRR1784985_Tr	Tigripus-kingsejongensis_SRR2034718_Tr	Tracheliastes-polycolpus_female_le
PF00792.25	5	14	42	10	463	17	20	21	16	5	22	13	9	12	14	21	7	22	19	61	16	6	13
PF00794.19	13	42	11	2	20	20	6	39	15	18	14	6	3	4	5	5	6	19	12	22	13	2	11
PF12234.9	4	6	3	16	14	23	15	11	12	9	4	6	9	8	6	94	16	10	18	36	33	0	13
PF13656.7	2	16	3	1	3	17	4	3	5	3	2	2	4	7	8	3	4	2	3	8	4	3	2
PF01193.25	4	73	20	10	53	52	13	45	15	14	31	13	15	10	11	18	13	10	50	121	8	4	9
PF08598.12	18	12	18	8	12	76	29	36	32	17	35	4	7	28	37	15	56	22	9	13	23	223	6
PF07651.17	7	42	47	27	13	90	23	27	157	128	18	19	18	27	13	27	30	47	53	41	53	14	9
PF01608.18	34	217	305	204	225	80	158	297	293	57	102	186	68	149	111	426	90	64	337	201	471	123	111
PF00930.22	12	34	26	32	11	65	85	18	44	26	40	19	45	10	9	64	24	40	49	43	42	27	12
PF00326.22	96	44	351	352	183	326	340	349	112	242	223	240	253	159	112	282	126	150	198	403	250	74	81
PF12460.9	44	84	59	31	7	117	25	19	49	7	8	19	147	23	24	361	170	25	14	116	142	34	68
PF14500.7	2	17	3	13	4	26	3	6	11	0	1	5	74	4	4	3	20	4	0	8	1	3	78
PF18359.2	7	5	30	12	22	19	12	8	2	4	17	12	9	52	106	40	4	50	1	8	2	1	1
PF18358.2	1	2	9	8	18	4	22	8	1	2	5	10	18	1	1	2	8	41	114	3	2	1	1
PF05033.17	26	14	100	73	30	63	60	36	19	55	45	18	23	13	15	74	20	88	29	56	35	12	16
PF01429.20	125	117	524	1054	482	130	311	395	56	34	1391	2346	929	67	85	296	45	3521	1036	677	39	25	19
PF01900.20	4	22	12	4	6	12	4	8	3	2	13	6	79	5	3	3	2	10	1	5	2	6	1
PF07522.15	19	78	16	3	40	67	42	15	19	1	11	3	2	57	75	34	16	44	9	24	59	12	2
PF02833.15	4	9	7	5	1	3	3	13	2	2	1	1	3	1	1	2	2	4	2	7	4	15	2
PF01368.21	4	14	5	0	1	27	5	20	1	0	1	2	13	2	1	8	2	2	0	10	14	10	3
PF01399.28	133	257	272	223	157	548	87	163	417	157	113	79	81	128	375	341	203	221	144	326	143	163	67
PF07650.18	153	242	202	102	139	442	265	224	240	305	122	128	92	182	120	162	183	149	108	308	174	55	72
PF02259.24	23	23	16	13	51	177	355	25	29	14	26	65	21	81	88	11	110	17	26	9	40	44	163
PF02260.21	42	29	53	47	60	75	62	13	46	12	52	215	24	48	45	53	10	21	28	26	23	15	35
PF03177.15	7	49	56	41	23	15	8	5	4	6	4	3	126	4	4	38	17	20	22	15	9	5	12
PF08801.12	30	139	1	17	27	28	26	80	13	32	101	97	15	22	2	37	10	5	39	105	15	74	7
PF06325.14	44	88	99	55	102	123	121	316	56	91	36	31	89	158	139	100	83	82	125	37	157	53	67
PF14559.7	1367	2281	926	924	990	1890	742	1210	1429	674	873	632	434	776	806	2438	559	917	906	1454	1111	903	848
PF13649.7	408	555	637	216	222	533	304	419	539	274	212	196	335	227	209	503	238	422	267	355	302	262	173
PF09258.11	20	30	17	17	13	36	25	15	9	6	3	4	91	8	6	12	19	7	11	14	36	13	5
PF03016.16	23	31	18	27	55	40	54	101	88	15	12	47	7	21	36	23	45	11	12	36	89	39	9
PF02245.17	7	0	5	5	1	5	7	9	0	0	1	3	2	0	0	0	12	1	0	8	1	1	0
PF02737.19	4	43	19	28	27	37	8	6	66	20	5	6	25	23	22	36	5	52	8	41	98	69	7
PF00378.21	28	108	72	59	35	161	48	52	70	41	47	40	52	109	99	200	28	141	30	95	47	84	62
PF00725.23	6	144	83	74	126	89	168	14	113	35	42	55	33	75	72	74	22	9	63	100	78	48	36
PF16113.6	138	262	159	328	69	201	135	104	101	66	87	55	122	85	91	312	44	149	99	120	98	46	61
PF02115.18	25	1	33	4	3	24	3	5	31	2	1	2	1	7	6	4	10	64	16	4	1	5	2
